age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE,N
16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,1,0,0,0,0,0,0,1,0,0,2
16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,4,0,0,0,0,0,0,0,0,1,5
16-24,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,1,0,2,0,0,0,0,0,0,0,1,4
16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,0,0,1,0,0,0,0,0,0,0,0,1
16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,0,0,0,0,1,0,0,1
16-24,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,2,0,0,0,0,0,0,1,0,0,3
16-24,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,1,0,0,0,0,0,0,0,0,0,0,1
16-24,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,1,0,0,0,0,0,0,0,0,0,0,1
16-24,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,0,0,0,1,0,0,0,0,0,1
16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,0,0,0,0,1,0,0,0,1,0,2
16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,0,2,0,0,1,0,0,3
16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,0,0,0,0,0,0,0,0,0,0,1,1
16-24,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,0,0,0,0,1,0,0,0,0,0,0,1
16-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,0,2,1,0,0,0,0,0,0,0,0,3
16-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,0,0,0,0,0,0,0,1,0,1
16-24,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,1,0,0,1,0,0,1,0,1,0,0,4
16-24,Basic education,Female,Estonian,Tartu linn,Tartu linn,0,1,1,0,0,0,0,0,1,0,0,3
16-24,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,1,1,0,1,0,2,0,0,0,0,0,5
16-24,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,0,0,0,0,0,0,1
16-24,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,0,0,0,0,2,0,0,0,0,0,0,2
16-24,Basic education,Female,Other,Pärnumaa,Pärnumaa,0,0,0,1,0,0,0,0,0,0,0,1
16-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,0,1,0,0,0,0,0,1
16-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,3,0,3,0,1,1,0,0,2,1,1,12
16-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,1,0,0,0,1,0,0,0,0,0,2
16-24,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2,0,0,0,0,0,0,0,0,0,0,2
16-24,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,1,0,0,0,0,0,0,0,0,0,0,1
16-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,1,0,0,0,0,0,0,0,0,0,0,1
16-24,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,0,0,0,0,1,0,0,0,2,0,0,3
16-24,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,0,0,0,1,0,0,0,1,0,2
16-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,0,1,0,0,0,0,0,1
16-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,0,0,0,0,0,1,0,0,0,0,1,2
16-24,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,3,0,0,0,0,1,0,0,0,0,0,4
16-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,2,0,0,0,0,1,0,0,0,0,0,3
16-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,0,0,0,0,0,0,1,0,0,1
16-24,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,0,0,1,0,0,0,0,0,0,0,0,1
